Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
,,,,,,,,,Breitbart Articles for 100 Days of Trump,A collection of Breitbart Articles written during President Trump's first 100 days.,http://storage.torontosun.com/v1/suns-prod-images/1297660878712_LARGE_BOX.jpg?quality=80&stmp=1481008151209,Zach Wise/verite.co,"<a href=""http://www.flickr.com/photos/zachwise/6115056146/"" title=""Chicago by zach.wise, on Flickr"">Chicago by zach.wise</a>",,title,,
2017,01,22,03:17:2,2017,01,22,03:17:2,,Silicon Valley Protests Trump's Non-existent 'Muslim Registry',"Last week, tech employees mounted protests at Palantir, the Silicon Valley security company connected to Peter Thiel." Found at: http://www.breitbart.com/california/2017/01/22/silicon-valley-fears-palantir-offers-president-trump-extreme-vetting-software/,,,,,,,
2017,01,21,13:47:2,2017,01,21,13:47:2,,Mark Kelly, Gabby Giffords to Fight National Reciprocity, Pro-Gun Trump Administration - Breitbart,"Mark Kelly pledged he and Gabby Giffords will fight against the pro-gun Trump administration in general and against national reciprocity in specific." Found at: http://www.breitbart.com/big-government/2017/01/21/mark-kelly-gabby-giffords-to-fight-national-reciprocity-pro-gun-trump-administration/,,,,,,,
2017,01,21,12:43:4,2017,01,21,12:43:4,,Trump Gives Oval Office New Look with Gold Drapes,"The Oval Office was redecorated with gold drapes just in time for President Trump's arrival at the White House Friday." Found at: http://www.breitbart.com/big-government/2017/01/21/trump-gives-oval-office-new-look-gold-drapes/,,,,,,,
2017,01,21,12:05:2,2017,01,21,12:05:2,,LA Times: Trump's 'Only Reasonable Path' On Immigration Is Amnesty,"The Los Angeles Times said the new leader of the free world must turn to amnesty for illegal immigrants. The L.A. newspaper said it is President Donald Trump's only way fix the country’s broken immigration system." Found at: http://www.breitbart.com/texas/2017/01/21/la-times-trumps-reasonable-path-immigration-amnesty/,,,,,,,
2017,01,20,11:52:4,2017,01,20,11:52:4,,Trump's First Inaugural Address: Populism, Nationalism, Unity,"President Donald Trump's inaugural address resounded with clear themes of populism, nationalism, and unity." Found at: http://www.breitbart.com/big-government/2017/01/20/trump-inauguration-first-inaugural-address-populism-nationalism-unity/,,,,,,,
2017,01,20,10:50:2,2017,01,20,10:50:2,,'Bridges Not Walls' Protests Take Place Across Britain,"Small groups of protestors have gathered at locations across Britain to mark their opposition to the inauguration of Donald Trump." Found at: http://www.breitbart.com/london/2017/01/20/bridges-not-walls-protests-take-place-across-britain/,,,,,,,
2017,01,20,10:44:3,2017,01,20,10:44:3,,White House, POTUS Social Media Accounts Transfer to President Trump - Breitbart,"The official social media accounts for POTUS, VP, FLOTUS, and the White House have now transferred over to their new occupants." Found at: http://www.breitbart.com/big-government/2017/01/20/white-house-potus-social-media-accounts-transfer-president-trump/,,,,,,,
2017,01,15,18:26:2,2017,01,15,18:26:2,,Inauguration 2017: Almost One Million Attendees, Plus Protestors, Say Officials - Breitbart,"Inauguration 2017: Almost One Million Attendees, Plus Protestors, Say Officials" Found at: http://www.breitbart.com/big-government/2017/01/15/inauguration-2017-what-to-expect/,,,,,,,
2017,01,07,07:26:1,2017,01,07,07:26:1,,Donnelly: Dear Mr. President-Elect, Please 'Pick a Fight' with California on Behalf of the American People - Breitbart,"Donnelly: Dear Mr. President-Elect, Please 'Pick a Fight' with California on Behalf of the American People" Found at: http://www.breitbart.com/california/2017/01/07/dear-mr-president-elect-please-pick-a-fight-with-california-on-behalf-of-the-american-people/,,,,,,,
2016,11,22,05:07:3,2016,11,22,05:07:3,,President Trump Could Slash $500 Million from Public Broadcasting,"One of the first programs on the block for President Donald Trump could be the almost $500 million spent on public broadcasting." Found at: http://www.breitbart.com/california/2016/11/22/npr-donald-trump-may-defund-500-million-public-broadcasting/,,,,,,,
2016,11,17,10:32:0,2016,11,17,10:32:0,,FANG Tech Stocks Crash on Trump 'Trust-Buster' Risk - Breitbart,"With a 9 percent crash of “FANG” tech stocks, Wall Street is fretting that President Donald Trump could be a modern day “trust-buster.”" Found at: http://www.breitbart.com/california/2016/11/17/fang-tech-stocks-crash-trump-trust-buster-risk/,,,,,,,
2016,11,15,13:15:5,2016,11,15,13:15:5,,President Trump Can Turn Off California’s Illegal Alien Magnet,"President Donald Trump will have the power to turn off California’s illegal alien magnet by enforcing existing federal law." Found at: http://www.breitbart.com/california/2016/11/15/president-trump-day-1-can-turn-off-californias-illegal-alien-magnet/,,,,,,,
2016,11,10,09:38:3,2016,11,10,09:38:3,,Trump Win Means FCC's 'Net Neutrality' Regulation is Dead,"The biggest impact on Silicon Valley from Donald Trump’s election as the 45th President will be the killing off of "Net Neutrality."" Found at: http://www.breitbart.com/california/2016/11/10/trump-win-means-fcc-net-neutrality-regulation-dead/,,,,,,,
2016,11,09,13:04:0,2016,11,09,13:04:0,,North Korea Issues White Paper Predicting U.S. 'Collapse' Under Obama,"The Obama administration's foreign policy and economic failures will drive the U.S. to its demise, says state-controlled North Korean media." Found at: http://www.breitbart.com/national-security/2016/11/09/communist-north-korea-issues-white-paper-predicting-u-s-collapse-obama/,,,,,,,
2016,11,09,05:27:1,2016,11,09,05:27:1,,'I Want to Quit Life': Hollywood 'Devastated' after Trump Win,"Dozens of celebrity Clinton supporters took to Twitter to vent their frustration after the results of Tuesday night's election." Found at: http://www.breitbart.com/big-hollywood/2016/11/09/hollywood-howls-trump-win/,,,,,,,
2016,02,17,20:33:2,2016,02,17,20:33:2,,Island of Missing Canadians to Americans: Migrate Here if Trump Wins - Breitbart,"Island of Missing Canadians to Americans: Migrate Here if Trump Wins" Found at: http://www.breitbart.com/big-government/2016/02/17/3066491/,,,,,,,
2017,01,30,18:14:1,2017,01,30,18:14:1,,Gabby Giffords: Toddlers with Guns a Greater Threat than Refugees,"Gabby Giffords: Toddlers with Guns a Greater Threat than Refugees Blocked by Trump" Found at: http://www.breitbart.com/big-government/2017/01/30/gabby-giffords-toddlers-guns-dangerous-refugees-blocked-trump/,,,,,,,
2017,01,30,16:56:0,2017,01,30,16:56:0,,Sen. Chris Murphy Wants 'No Screening' for Immigrants, More Gun Control - Breitbart,"Sen. Chris Murphy Wants 'No Screening' for Immigrants, More Gun Control" Found at: http://www.breitbart.com/big-government/2017/01/30/senator-chris-murphy-no-screening-gun-control/,,,,,,,
2017,01,30,11:22:4,2017,01,30,11:22:4,,Ted Lieu Falsely Claims Trump Executive Order Is 'Muslim Ban',"On Sunday, Rep. Ted Lieu (D-CA) falsely labeled President Donald Trump's refugee travel ban a "Muslim ban" at LAX." Found at: http://www.breitbart.com/california/2017/01/30/ted-lieu-falsely-claims-trump-executive-order-is-muslim-ban/,,,,,,,
2017,01,30,11:09:0,2017,01,30,11:09:0,,New York Times Columnist: Forget Immigration Bans; Gun Control Would Make Us Safer,"On Monday, NYT columnist Thomas Friedman told CNN's Chris Cuomo Pres. Trump should forget the immigration suspension and pass gun control." Found at: http://www.breitbart.com/big-government/2017/01/30/nyt-columnist-forget-immigration-bans-gun-control-safer/,,,,,,,
2017,01,30,08:02:2,2017,01,30,08:02:2,,Protests Opposing Trump Immigration Order To Take Place Across UK,"Furious Brits will be gathering in cities across the UK Monday evening to protest against President Trump's Executive Order." Found at: http://www.breitbart.com/london/2017/01/30/protests-opposing-trump-immigration-order-to-take-place-across-uk/,,,,,,,
2017,01,29,09:58:4,2017,01,29,09:58:4,,Lyft, AirBnB Give ACLU Donations, Free Housing to Protest Trump's Refugee Policy - Breitbart,"Ride-sharing company Lyft and online residential lodging company AirBnB have decided to protest President Trump's executive order on refugees." Found at: http://www.breitbart.com/big-government/2017/01/29/lyft-airbnb-give-aclu-donations-free-housing-protest-trumps-refugee-policy/,,,,,,,
2017,01,29,07:29:1,2017,01,29,07:29:1,,Iran Retaliates, Plans to Block Americans from Iran in Response to Trump's Visa Ban,"Iran has announced that it will prevent United States citizens from entering the country in retaliation against President Donald Trump's visa ban against Tehran and six other majority-Muslim countries." Found at: http://www.breitbart.com/national-security/2017/01/29/iran-retaliates-plans-to-block-americans-from-iran-in-response-to-trumps-visa-ban/,,,,,,,
2017,01,29,05:25:3,2017,01,29,05:25:3,,Pentagon Chief Orders Review of F-35 Fighter Program,"US Secretary of Defense James Mattis has ordered a review of the Lockheed Martin F-35 stealth fighter program after President Donald Trump assailed its" Found at: http://www.breitbart.com/jerusalem/2017/01/29/pentagon-chief-orders-review-f-35-fighter-program/,,,,,,,
2017,01,29,00:26:0,2017,01,29,00:26:0,,California Democrats Threaten to Stop Paying Federal Taxes,"California Democrats are going on the offensive, firing the first shot in their pitched battle with President Donald J. Trump." Found at: http://www.breitbart.com/california/2017/01/29/california-democrats-fire-first-shot-threaten-cut-off-funds-feds/,,,,,,,
2017,01,28,13:58:3,2017,01,28,13:58:3,,Neighbors Put Up Nazi Flag to Protest Trump, Force Family Out of Their Home - Breitbart,"Neighbors Put Up Nazi Flag to Protest Trump, Force Family Out of Their Home" Found at: http://www.breitbart.com/big-government/2017/01/28/neighbors-put-nazi-flag-protest-trump-force-family-home/,,,,,,,
2017,01,27,17:45:5,2017,01,27,17:45:5,,Secret Recording: Republicans Struggle to Find Pathway to Obamacare Repeal - Breitbart,"Secret Recording: Republicans Struggle to Find Pathway to Obamacare Repeal" Found at: http://www.breitbart.com/big-government/2017/01/27/secret-recording-republicans-struggle-to-find-pathway-to-obamacare-repeal/,,,,,,,
